gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SERPINB4,5042.77303212908,4.00592739395835,0.268866970154598,14.8992916149386,3.33092226929192e-50,4.90417244024071e-46
TUBA1C,891.070863435134,2.56882713125535,0.172843827398944,14.8621282571243,5.80512836202735e-50,4.90417244024071e-46
SLC26A4,374.572708411391,5.94390816297759,0.403833901103667,14.7186953515618,4.8900348964573894e-49,2.7540676536848002e-45
TNC,1468.63953365619,2.89578802852901,0.210697934186864,13.7437893717591,5.54935510727563e-43,2.34404759731323e-39
MUC2,836.818254159616,3.29136336866396,0.24603632571379,13.3775504861536,8.17989328335206e-41,2.76414953831033e-37
PROCR,252.201199444105,3.51994087781058,0.26600017672754,13.2328516511326,5.66947789678341e-40,1.59652497573421e-36
SNTN,1041.47819391873,-2.46981521330891,0.195062870115116,-12.6616367935699,9.64668187142186e-37,2.05092789173915e-33
RP1,904.423901617375,-2.46840410154535,0.194959433368356,-12.6611165148472,9.71083282073462e-37,2.05092789173915e-33
POSTN,6935.43070962877,4.1426325386369,0.329658005499168,12.5664551430023,3.22879291092848e-36,6.06152055811639e-33
CCDC80,341.010492288414,-2.25561161377534,0.184068469151894,-12.2541987998716,1.59518086053826e-34,2.69521758196545e-31
GSTA2,1158.69859365765,-4.44083683609233,0.36911416820038,-12.0310657749706,2.4399061451500598e-33,3.7476958389505e-30
FGFBP1,512.930455331284,3.10484341513149,0.261701845497735,11.8640486054897,1.8195909586161002e-32,2.56198406973147e-29
PTHLH,146.172853422385,5.34716036362917,0.461382695842919,11.5894254635194,4.6624949556927e-31,6.05980882856799e-28
LDLRAD1,569.913764636948,-2.6192543665788,0.230649896501443,-11.3559746018026,6.92631745095615e-30,8.35907568938251e-27
AKAP14,296.055960902769,-2.35006843712883,0.213821317539112,-10.9908051459787,4.23134437932758e-28,4.76618630887459e-25
IQUB,188.72806019449,-2.46075213186789,0.224941395861041,-10.9395254815083,7.45892741229883e-28,7.876627347387571e-25
MAP3K19,285.947803719333,-2.39416509601132,0.220091888757375,-10.8780251263626,1.4670693897844e-27,1.4580943770469e-24
SLC7A2,346.029114430315,-2.92836191760907,0.269450012379296,-10.8679227428905,1.63889754390558e-27,1.53837849454604e-24
DEGS2,454.677858204146,-1.86268224516266,0.174604593874462,-10.6680025068636,1.43681917108379e-26,1.2777103534016601e-23
C9orf116,898.373993145492,-2.05068415773387,0.19378208085668,-10.5824240748583,3.59533950155097e-26,3.03734281091026e-23
TSPAN19,594.93194436028,-2.24181909451541,0.212083657628137,-10.5704471508416,4.08542028724725e-26,3.28701243682522e-23
C20orf85,2733.36333408755,-2.16016735152003,0.205771956503321,-10.4978704981364,8.83507280432425e-26,6.389245914518961e-23
CES1,1470.57040797066,-2.21537086140747,0.211060013313695,-10.4964025474347,8.97350222914988e-26,6.389245914518961e-23
EFCAB10,322.623964834331,-2.27523819383794,0.216785690669273,-10.4953338332143,9.075633401305339e-26,6.389245914518961e-23
SPRR2D,2673.51070477145,-3.83729283984483,0.366807301726337,-10.4613316632058,1.30015377768595e-25,8.786959291112699e-23
PROS1,400.51328017658,-3.67514925939722,0.352323575436612,-10.4311760995353,1.78663028626753e-25,1.1610348198760098e-22
DTHD1,577.427780059871,-2.45985854365253,0.236432160862633,-10.4040775784379,2.3754549033472103e-25,1.48650689062794e-22
MUC15,436.51616374192,-1.81210130446789,0.174820545997286,-10.3654939076556,3.55914948862369e-25,2.14769249142092e-22
MS4A8,1147.35444478772,-2.24349916626495,0.217493046825021,-10.3152684603748,6.01130718007805e-25,3.50231193498616e-22
RARRES1,1565.94002870635,2.27498964797485,0.221430931855182,10.2740372761594,9.22609443600237e-25,5.19613638635654e-22
CD44,2905.50293946237,2.66467982355671,0.260552066878899,10.2270531010419,1.50014888771225e-24,8.17629535702778e-22
MORN2,1308.5232365384,-1.63207595587172,0.161393924730015,-10.1123754106724,4.8689192436783e-24,2.57078936066214e-21
CAPSL,900.503130270097,-2.30288390067917,0.228005842644421,-10.10010916374,5.51807299352552e-24,2.82525337268506e-21
PIFO,1205.29686546258,-2.18464952954031,0.21709498329735,-10.0631046206538,8.04214271595056e-24,3.99647186260884e-21
OSMR,232.911363469504,1.96813653503715,0.196071371976394,10.0378577208819,1.03906214514125e-23,5.0159982869447505e-21
MORN5,577.989659726484,-2.77195478026593,0.277328389980966,-9.99520741621939,1.59952026647992e-23,7.50708178401243e-21
ANKRD66,225.233286406172,-2.55362775139554,0.255752552478659,-9.98475959143605,1.77731393354773e-23,8.11608005978983e-21
DYNLRB2,745.317719198496,-2.43791888191807,0.245705980400209,-9.92209826536238,3.3366676863314404e-23,1.48358782179621e-20
C2orf40,1733.22317768828,-2.5807119851266,0.260250498495989,-9.91626144826142,3.53759136837298e-23,1.53259342974436e-20
TCTEX1D4,402.550221383723,-3.04563282765713,0.309254734249664,-9.84829815151146,6.97143850858955e-23,2.94473562602823e-20
STOX1,215.023668603073,-2.32476360140549,0.237956042652583,-9.76971870724735,1.51873148964488e-22,6.25865542659511e-20
CFAP53,676.787897387459,-2.68523432354648,0.275011683705086,-9.7640736108726,1.60572756464496e-22,6.459612602914601e-20
FAM25A,329.398584908061,-4.07965791924221,0.418285710399309,-9.75328063525679,1.7860134675188299e-22,7.017786871441441e-20
CFAP70,707.678910245922,-2.59502565958859,0.26739702372023,-9.70476643114654,2.87734563815215e-22,1.10490072505043e-19
SLC22A4,277.308669650977,-2.72735101546526,0.282256259917276,-9.6626768039249,4.34363160748918e-22,1.63088888089194e-19
SRGAP3-AS2,228.831063947306,-2.47064328435331,0.255769085893136,-9.65966342541327,4.473312079269e-22,1.64306697589846e-19
SPEF2,639.649636085796,-2.33081046355394,0.243248370007092,-9.58201883731426,9.516624230909849e-22,3.42112517032878e-19
FAM92B,662.505949376895,-2.47709099512535,0.258958720709971,-9.56558245396821,1.1157144860099e-21,3.9273149907548604e-19
EFHC1,1017.9423372986,-1.96611457542804,0.206434114206538,-9.52417473722841,1.6635842285422301e-21,5.736310025601951e-19
C11orf88,1435.72447944228,-2.30408336892598,0.242411417905198,-9.50484671405643,2.00342852113977e-21,6.769985658635521e-19
