gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
POSTN,786.837570102665,2.55294028193035,0.223444790321107,11.4253739291106,3.1230839998806497e-30,4.0309645186459597e-26
RARRES1,1211.17795369167,1.75150209585206,0.184758699895722,9.47994382316288,2.54420004286436e-21,1.6418994976625102e-17
GSTA2,796.392230532702,-2.08419060216974,0.244575899842111,-8.52165157529918,1.57293983689867e-17,6.767311491617051e-14
CD55,2073.77841195753,1.43823512603134,0.183454693452513,7.83972924848401,4.515189234693531e-15,1.45693868630474e-11
ANKRD36C,605.470899765899,1.30212290789237,0.169679835518233,7.67399911672148,1.66715229169718e-14,3.95387098543177e-11
FGFBP1,363.118344175086,2.18250422350123,0.284867149889201,7.66148088451094,1.83801238960181e-14,3.95387098543177e-11
PROS1,246.256499496685,-2.69693450346238,0.364173041290386,-7.40564017014068,1.30519294963875e-13,2.4065893429982003e-10
SCGB1A1,332216.156311443,-1.26867405860749,0.174691234453527,-7.26237960694585,3.80338999753397e-13,6.13629433727138e-10
SLC7A2,211.152864613983,-1.89905971892924,0.263921898841665,-7.19553673743665,6.22155316915867e-13,8.922398528258991e-10
CD44,933.259452409607,1.74061705716698,0.244234108483688,7.12683854017563,1.02700443263577e-12,1.3255546212029902e-09
TMSB10,3953.4086689418,0.839911417662185,0.121087548731116,6.93639789114296,4.0222372419062995e-12,4.71954691648042e-09
S100A2,5036.97318422488,1.25597340810371,0.188903397101532,6.64876030486971,2.95571881649065e-11,3.17912189703707e-08
TMEM190,1044.74311727742,-1.5280175030748,0.241348959398801,-6.33115430404624,2.43333841949006e-10,2.41593069079679e-07
SCGB2A1,163.569271956397,-1.41756712824569,0.227996879493911,-6.21748478045966,5.05187142561267e-10,4.65746460645591e-07
MGP,134.603602006281,-1.46394214111701,0.237098585570579,-6.17440267555382,6.64140767202125e-10,5.71470992151855e-07
AGR3,1095.23215467401,-1.44801582197228,0.236188911013993,-6.13075277647769,8.74642294740517e-10,7.05563006138491e-07
HSD17B13,129.172671103209,-1.35174897995351,0.221621691997387,-6.09935321660411,1.06498503490677e-09,8.08574226208332e-07
SERPINB4,872.546731938091,1.92150617408623,0.32038667714517,5.99745966719952,2.00428124194224e-09,1.4169351547696e-06
MUC4,1353.64133457793,1.12897571189606,0.188445974494835,5.99097813005817,2.08582691102676e-09,1.4169351547696e-06
SERPINB2,468.166928544572,1.35381794900098,0.228014569754504,5.93741860644518,2.8954470906824e-09,1.86857677997189e-06
RNF145,561.494929131648,0.900758781400893,0.15242911326157,5.90936181499121,3.4343563104771104e-09,2.11082080472991e-06
ANKUB1,239.520984494785,-1.66659949617816,0.284770787380304,-5.85242437087641,4.84458564903918e-09,2.84223031691585e-06
TUBB,756.937853839075,1.03436973452004,0.178388670283834,5.79840486996319,6.6948662786443705e-09,3.75698430688969e-06
FABP4,35.5536732577973,-4.07335907844685,0.70523277540296,-5.77590721888867,7.653954396931341e-09,4.11623289171637e-06
TSPAN19,403.193841810615,-1.88880212745748,0.327694341242963,-5.76391438525656,8.21851172697439e-09,4.24305323440234e-06
C11orf88,909.819304243111,-1.66501362903359,0.290463275002099,-5.73226900723183,9.909594033641572e-09,4.91935116123892e-06
ROPN1L,355.245669881791,-1.63434332964331,0.28775904245346,-5.67955507395613,1.35045563057216e-08,6.45567808288698e-06
DCDC1,134.557898567075,-1.66143886376378,0.294059589925621,-5.65000741578951,1.60440915428248e-08,7.39575319797283e-06
CNTD1,53.2414690569026,-2.37039451398092,0.420262407194898,-5.64027253782335,1.69781217605523e-08,7.44317002764755e-06
IQUB,112.417009340928,-2.2038540488864,0.39095980472533,-5.63703486202304,1.73003099736133e-08,7.44317002764755e-06
DNAH5,971.85316402778,-1.46548502690835,0.260288209107226,-5.63023977127076,1.79959270387221e-08,7.49269129963828e-06
CAPN13,208.944105763122,1.08237577246078,0.193424087109229,5.59586858408977,2.19519940164645e-08,8.85419958657837e-06
MCM4,115.010445635395,1.23992040068276,0.226022125850583,5.48583638002959,4.11517667231617e-08,1.58941254288921e-05
DTHD1,311.535440005763,-1.76333702956704,0.321636043907414,-5.4823987017905,4.19597266912495e-08,1.58941254288921e-05
LBH,158.187260477878,1.20889690292338,0.220696108903996,5.47765390575713,4.31002084149085e-08,1.58941254288921e-05
MUC1,2308.94403798698,1.04418695473081,0.191002768085708,5.46686817785934,4.58056437031217e-08,1.64225956465609e-05
POU2AF1,219.739082671932,-1.09765857478933,0.201675445427451,-5.4426981552605,5.24795306679303e-08,1.78751963588384e-05
C16orf89,337.860339557369,-1.15216542302771,0.21170956497212,-5.44219824540965,5.26270598617695e-08,1.78751963588384e-05
BPIFB2,23.9594796317724,-3.29729984580387,0.607346953474292,-5.42902179214346,5.66637656250966e-08,1.82112936789047e-05
MSMB,16453.1036690506,-1.12262040172528,0.206820478739779,-5.42799440638448,5.69908254556455e-08,1.82112936789047e-05
CDHR3,328.794544031257,-1.63007784332753,0.300457226839777,-5.42532413173336,5.78494646962961e-08,1.82112936789047e-05
PIH1D3,93.2360751591882,-2.30916845987875,0.42621638861196,-5.41783122746387,6.03263202480697e-08,1.85388527486151e-05
SCD,167.60364554683,1.75605520361957,0.325210357762234,5.39975176591224,6.67331709056667e-08,2.00308148111498e-05
GLYATL2,44.0011001555294,1.72665120714587,0.320205749723945,5.39231793506034,6.95545596062876e-08,2.04031977463262e-05
SLC26A4,52.9228437045929,2.97350976295854,0.552903721052924,5.37798833637062,7.53226948073137e-08,2.16042227083999e-05
MS4A8,715.825831616414,-1.3870721329866,0.25959549922328,-5.34320563005434,9.13170715444587e-08,2.56223791831376e-05
GMDS,206.240383577018,0.981126448734027,0.183952891595824,5.33357448324177,9.62980362612323e-08,2.64450798728452e-05
DDIT4,1238.21780366843,-1.01350499346972,0.19099119950341,-5.30655337054743,1.11717461351062e-07,3.00403598678784e-05
MNS1,264.006588703219,-1.51854333302823,0.286375315362049,-5.30263347282015,1.1414395302645e-07,3.00664490145387e-05
KRT4,1104.14966296408,1.31043629449611,0.24791883853404,5.28574715114351,1.25192718563682e-07,3.20080532074235e-05
