gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SCD,577.576793595459,-3.92263869281251,0.204308676590917,-19.1995697797345,3.73170002030374e-82,5.16877769812272e-78
CES1,354.123621479251,-5.8678313579999,0.375138436091685,-15.6417759244638,3.78036351853701e-55,2.61809075476281e-51
APOC1,6266.17210686345,-5.70177604945183,0.3708667549505,-15.3741902538901,2.43873279455373e-53,1.12596293124546e-49
NUPR1,731.823520080512,-6.49714892845625,0.429500555167562,-15.1272189297206,1.0712788879597e-51,3.7095709692824396e-48
FTH1,38858.7973867778,-2.80578574166042,0.186412522074939,-15.0514874775015,3.37558120217642e-51,9.35103504626913e-48
PCOLCE2,81.5971923564283,-6.34134990673395,0.432305081642824,-14.6686915699345,1.02298707135972e-48,2.3615656542339002e-45
SERPING1,317.771520325323,-5.20525905406665,0.355930369364215,-14.6243746027197,1.96366960256038e-48,3.88554109500911e-45
LPL,75.0152727062932,-4.2586535620286,0.302425102078379,-14.0816801672927,4.92253686352823e-45,8.522757262091189e-42
APOE,2142.33505789503,-5.44152075553088,0.393723780708534,-13.8206555513067,1.91319565362251e-43,2.9444081109250397e-40
BHLHE41,96.3646608353934,-3.52621698096848,0.258265560690703,-13.653454109553,1.92531816952372e-42,2.66675819660731e-39
CXCL9,105.558729079032,-4.24455594892341,0.312643180449181,-13.5763586553373,5.5308510953659996e-42,6.964347138355861e-39
MT2A,324.476768354106,-2.98843454501334,0.220677528117648,-13.5420881795456,8.824424944094619e-42,1.0185592491721201e-38
MARCO,890.962368482321,-5.49855420002702,0.413317933969018,-13.303449350057,2.2103128948954e-40,2.35500337747663e-37
MS4A7,997.09051088151,-2.55811576395689,0.195898164652513,-13.0583957664663,5.69145102459279e-39,5.63087772440248e-36
C2,76.826076653246,-3.85669392912706,0.299663008992494,-12.8701034608635,6.63132667380661e-38,6.123367050593021e-35
CTSD,2260.81133790447,-3.15203976230708,0.245727786292096,-12.8273640106791,1.15217889081206e-37,9.97426863539864e-35
CFD,642.150816776203,-3.01070885538182,0.236586368723308,-12.7256226621531,4.26064688899532e-37,3.47142470938084e-34
FOLR3,208.277616320815,-4.75372584352245,0.374663543437234,-12.6879861326001,6.89355791222365e-37,5.3045928134561e-34
FMNL2,98.5718248727357,-3.05088925968678,0.240624543283796,-12.6790443653477,7.72681593836343e-37,5.6328488190669395e-34
PDLIM1,121.680374548441,-3.55187890558207,0.280363112910945,-12.6688524346293,8.79922211351713e-37,6.09390127471629e-34
IFI27,239.258402753291,-4.44145826688749,0.351104632425023,-12.6499563284342,1.11937026059804e-36,7.3830464188302e-34
MSR1,333.428876438142,-4.95638335345713,0.392820597565995,-12.617422263924,1.6927178037586898e-36,1.0657197409028e-33
ALDH1A1,142.978319757338,-4.08783991921715,0.3300368596518,-12.3860102278575,3.11141997711247e-35,1.87375122186891e-32
C1QA,1706.32608290426,-4.02398548749366,0.332201554973349,-12.1130844430168,9.00432693024687e-34,5.19662217961873e-31
CYP27A1,309.46891767465,-4.77796803051598,0.396052823369672,-12.0639665938103,1.6370435469346e-33,9.069876067436451e-31
C1QC,762.603264946568,-3.35196603510155,0.280306206401004,-11.9582298163825,5.88020726631386e-33,3.1325673402197396e-30
ALOX15,251.184065458286,4.00428028416264,0.337311481131578,11.8711651045185,1.67123769339617e-32,8.573449367122339e-30
INHBA,144.646914376883,-3.98402843918978,0.338971696553864,-11.7532775735944,6.79318646393151e-32,3.36044377542555e-29
LGALS3BP,175.299775335237,-4.66439247634617,0.398443707394595,-11.706528148848,1.18013731469682e-31,5.63657998133301e-29
MYO6,43.3258758399794,-4.17333465936601,0.357929318511617,-11.6596614010835,2.04855409992062e-31,9.4581742793335e-29
AC026369.3,129.432634134675,-5.07454068832318,0.437682714663375,-11.5941080566228,4.4144048268144606e-31,1.9723845566518399e-28
PHLDA3,79.3410545512549,-4.5354257861156,0.398482060064649,-11.3817565221877,5.155082557204719e-30,2.21390177817694e-27
MCEMP1,174.925603244001,-3.2889798124469,0.289020202193653,-11.3797574961323,5.274619787729329e-30,2.21390177817694e-27
LTA4H,415.432210194272,-2.46145687955078,0.217070897802483,-11.3394144699697,8.3702613062492e-30,3.40989674567229e-27
FFAR4,53.1001569613877,-3.37399571385204,0.30439960921978,-11.0841000174083,1.49849731489868e-28,5.93019608818905e-26
SPARC,71.759850042504,-6.4321439191966,0.580827399329382,-11.0741055374163,1.6754481061052798e-28,6.446286588240049e-26
ACO1,94.0626105855047,-2.90649197140001,0.264951001385112,-10.9699225751382,5.33180316724093e-28,1.9959677207960602e-25
PDK4,62.3710146252347,-3.26440733063357,0.297921407195234,-10.9572768246705,6.13167171920019e-28,2.23499434164847e-25
C1QB,1976.42931011287,-4.36804540271543,0.399477162728263,-10.9344057940221,7.89213001014148e-28,2.8029203274479404e-25
GCHFR,544.937128621762,-4.29592679760291,0.397754674827298,-10.8004432618376,3.42545863509519e-27,1.18615068886759e-24
CPE,39.7919628305118,-5.88486796474463,0.55228356755081,-10.6555188502928,1.6432576645245898e-26,5.55140534422686e-24
HPGD,39.6851210732642,-3.96313156375003,0.372498455268084,-10.6393234863157,1.9554392562505898e-26,6.4487593186492604e-24
PDE4DIP,164.239537790632,-2.18927920212514,0.207294786665461,-10.5611879456393,4.50918747997355e-26,1.4524826926770602e-23
FHL1,51.0347177217477,-3.78422183588656,0.358423263077646,-10.5579693778603,4.66647169833914e-26,1.46898407940217e-23
TREM1,215.053772226049,-3.71310221299338,0.353450145666307,-10.5053067837718,8.16568582248655e-26,2.51339809616136e-23
PLIN2,563.116712973175,-3.48774618727311,0.332649974488602,-10.4847330670474,1.0153196049699801e-25,3.05721561922591e-23
MME,87.5393376199663,-5.79707082781552,0.55423322479247,-10.4596234373827,1.32380723204719e-25,3.9012880789543803e-23
OLR1,422.063947322492,-2.60984510527719,0.252548429269332,-10.334038159841,4.943463735568651e-25,1.42649825419503e-22
LY6E,228.220270518178,-2.05727403233001,0.200917352136535,-10.2394044638413,1.32046649169447e-24,3.7326084441755397e-22
RMDN3,107.036003277867,-2.94205398396098,0.289332167168956,-10.1684303295698,2.74293159411756e-24,7.598469102024469e-22
