gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FABP4,5.66029150517066,-4.49282165227979,0.520766787184772,-8.62731987300431,6.2806339700987e-18,9.95982934978253e-14
NME3,85.5846730620874,-0.793301997765923,0.105411134027612,-7.52578942522446,5.24027366700297e-14,4.1550129905666603e-10
HK1,54.8259452500953,0.861023656001262,0.11813077773583,7.28873264448259,3.12884241224309e-13,1.6539060991117e-09
PPIL4,60.9597603295095,-0.546890784206888,0.0778170572502303,-7.027903695308,2.09659517588319e-12,8.3119515747889e-09
AC092069.1,11.8485648624911,1.57327821249177,0.227341943786233,6.92031653415925,4.50635587661217e-12,1.42923582982631e-08
CUTA,149.325803699219,-0.544636401263691,0.0817528554536316,-6.66198627854163,2.7015125595242798e-11,7.14009769482267e-08
ZNF83,35.6786848122878,-0.697391956649086,0.109733665362842,-6.35531451850364,2.0800059294062302e-10,4.71210486121771e-07
SRSF3,288.205340695529,0.530736807624542,0.0849548346695159,6.24728197858508,4.1765666239555103e-10,8.27899919033581e-07
TUBB,206.156988066081,1.07858357018725,0.17366299338852,6.21078532128162,5.27204572654082e-10,9.28934457016492e-07
ZC3H6,37.4758146871405,-1.00728456611293,0.162825545123514,-6.18628093858885,6.16001855958236e-10,9.76855743178571e-07
SURF4,109.155464154227,0.7694835395451,0.126387748788726,6.08827633152478,1.14132758658112e-09,1.64537935163667e-06
KIZ,13.4554443704188,-0.964559849311647,0.160511512855385,-6.00928763396978,1.86340272586872e-09,2.27940938070269e-06
SND1,47.5383089353783,1.0502045653129,0.174964108250552,6.00240001114395,1.94421992482433e-09,2.27940938070269e-06
PTBP1,82.1670763892312,0.443047432619075,0.0738805484603874,5.99680757454886,2.01234275002129e-09,2.27940938070269e-06
SBNO2,23.5533177489571,1.11940569366493,0.187734827519792,5.96269593902023,2.4810985668089602e-09,2.62301740483044e-06
INTS6-AS1,10.4027032742127,-1.16531852762159,0.198009485134713,-5.8851651820052,3.9765663388713905e-09,3.9412743126139e-06
TARS,38.2398687746651,0.722897174391456,0.125481985341537,5.76096379431574,8.36349806309563e-09,7.65614003572498e-06
GNB1,123.007819681293,0.464093288051725,0.0806488750887871,5.75449177115986,8.69028380899543e-09,7.65614003572498e-06
HNRNPM,189.354725337126,0.43711981302242,0.0763080686706807,5.72835639319976,1.0140834620756e-08,8.46386081136569e-06
RBM43,19.8579647990949,-1.02499255641647,0.182829109658693,-5.60628752352368,2.06712461941092e-08,1.63017823734471e-05
C12orf57,202.367943914007,-0.733062046253298,0.131117631710974,-5.59087314716913,2.25930597716502e-08,1.63017823734471e-05
SEC61B,337.718639052964,0.565973340084313,0.101234798588808,5.59069952204051,2.26156647884875e-08,1.63017823734471e-05
SPSB3,56.072987470514,-0.931027776450832,0.167291369640104,-5.56530667692999,2.61691762776817e-08,1.79675597805315e-05
MEAF6,83.2588927925267,-0.476881236626848,0.0857914068042436,-5.55861308714732,2.71926746583904e-08,1.79675597805315e-05
